decade,score,halfcentury,year,number,author,title,generic subtitle,subtitle1,subtitle2,nouvelle,source,exclusion,words,mode,temporality I,temporality II,characters (RW),truth(RW),truth place,person,1st person type,inset,1st-person insets?,titled insets?,# 1P insets,pages 1P insets,# 3P insets,pages 3P insets,pages total,segmentation,numb. Segs.,(1) authorial,(2) sententious,(3) character description,(4) location/period description,(5) Action,(5s) speech type,order 1,count
1720s,1721-1740,1701-1750,1730,8,Hamilton,Le Belier,conte,conte,conte,0,Googlebooks,0,31,mar,,,,,,3,,0,,,,,,,,0,,,,,,,,,1
1720s,1721-1740,1701-1750,1730,9,Hamilton,Histoire de fleur d'pine,conte,conte,conte,0,Googlebooks,0,30,mar,,,,,,3,,i4,y,,,,,,,0,,,,,,,,,1
1720s,1721-1740,1701-1750,1730,10,Hamilton,Les quatre Facardins,conte,conte,conte,0,Googlebooks,0,33,mar,,,,,,1,mem,i4,y,,,,,,,0,,,,,,,,,1
1740s,1741-1760,1701-1750,1747,16,Laffichard,Pantin et Pantine,conte,conte,conte,0,Googlebooks,0,14,mar,,,,,,3,,0,,,,,,,,0,,,,,,,,,1
1740s,1741-1760,1701-1750,1749,14,An,Zphirine,conte,conte,conte,0,Googlebooks,0,23,mar,,,,,,1,frame,i3,y,,,,,,,parties,2,,,,,,,,1
1780s,1781-1800,1751-1800,1789,59,Fontenette de Sommery,L'oreille,conte asiatique,conte,conte,0,Googlebooks,0,62,mar,,,,,,3,,ix,y,,,,,,,0,,,,,,,,,1
1770s,1761-1780,1751-1800,1777,13,Baret,Fo-ka ou les mtamorphoses,conte chinois drob  M de V***,conte,conte,0,Googlebooks,0,28,mar,,,,paro,,3,,0,,,,,,,,chaps t,52,,,,,,,,1
1760s,1761-1780,1751-1800,1768,9,An,Sensible et constant ou le vritable amour,conte moral,conte,conte,0,NCCO,0,26,mar,,,,,,3,,i2,y,,,,,,,0,,,,,,,,,1
1760s,1761-1780,1751-1800,1768,51,Robert,Les Ondins,conte moral,conte,conte,0,Googlebooks,0,34,mar,,,,,,3,,ix,n,,,,,,,chaps d,12,,,,,,,,1
1750s,1741-1760,1751-1800,1756,13,Duclos,Les cinq cents matines et une demie,contes syriensÉ,conte,conte,0,BNF Arsenal,0,133,mar,,,,,,3,,i5,y,,,,,,,matines,,,,,,,,,1
1770s,1761-1780,1751-1800,1779,4,an,Le pouvoir de la reconnaissance,conte,conte,conte,0,Googlebooks,0,24,rw,con,,nobodies,fict,sub,1,mem,0,,,,,,,,0,,,,,,,,,1
1770s,1761-1780,1751-1800,1779,1,an,Agathon et Deidamie,conte libre,conte,conte,0,Googlebooks,0,12,rw,his,vague,nobodies,fict,sub,3,,i4,y,,,,,,,0,,Y,N,Y,Y,action,,"3,1,4,5",1
1760s,1761-1780,1751-1800,1768,54,Villeneuve,Le temps et la patience,conte moral,conte,conte,0,Googlebooks,0,82,rw,uns,,nobodies,fict,sub,3,,ix,y,,,,,,,parties,2,N,N,Y,N,action,,"3,5",1
1780s,1781-1800,1751-1800,1789,35,Bdigis,Anna,conte moral,conte,conte,0,Oron,0,13,rw,con,,nobodies,fict,"sub, mis, pref",1,mem,0,,,,,,,,0,,,,,,,,,1
1790s,1781-1800,1751-1800,1798,63a,La Salle d'Offmont,Le mieux,conte moral,conte,conte,0,Googlebooks,0,21,rw,con,,nobodies,fict,sub,3,,0,,,,,,,,0,,N,N,Y,N,action,,"3,5",1
